index,query,gold_chunk_ids,hybrid_hit_at_1,hybrid_hit_at_5,base_rerank_hit_at_1,base_rerank_hit_at_5,finetuned_rerank_hit_at_1,finetuned_rerank_hit_at_5
0,Genel hukuk / sınıflandırma bekliyor alanında Türkiye den günlük erişimi milyondan konusunda Türkiye den günlük erişimi milyondan fazla sosyal sağlayıcılarının ifadesi ORICON kaynağına göre nasıl açıklanır?,oricon_genel_001293,True,True,True,True,True,True
1,Medeni Hukuk - Miras/Aile/Eşya/Kişiler alanında Resmi vasiyetname düzenleyen kişi konusunda Resmi vasiyetname düzenleyen kişi yeni ölüme bağlı tasarruf ifadesi ORICON kaynağına göre nasıl açıklanır?,oricon_medeni_000093,True,True,True,True,True,True
2,Ticaret Hukuku alanında Yurt dışında bulunanlara tebliğ işlemi konusunda Yurt dışında bulunanlara tebliğ işlemi ülkenin yetkili makamları ifadesi ORICON kaynağına göre nasıl açıklanır?,oricon_ticaret_000252,True,True,True,True,True,True
3,Genel hukuk / sınıflandırma bekliyor alanında ceza konusunda Adli para cezasının ödenmemesi durumunda para cezası doğrudan ifadesi ORICON kaynağına göre nasıl açıklanır?,oricon_genel_000840,True,True,False,True,False,True
4,Genel hukuk / sınıflandırma bekliyor alanında Yargıtay konusunda Yargıtay paydaşlar arasında herhangi harici taksim olmaması durumunda ifadesi ORICON kaynağına göre nasıl açıklanır?,oricon_genel_001627,True,True,True,True,True,True
5,İcra ve İflas Hukuku alanında Yeterli delil bulunmaması konusunda Yeterli delil bulunmaması durumunda savcılık takipsizlik kararı verir ifadesi ORICON kaynağına göre nasıl açıklanır?,oricon_icra_iflas_000114,False,True,False,True,True,True
6,Genel hukuk / sınıflandırma bekliyor alanında Birden fazla para türünün aynı konusunda Birden fazla para türünün aynı derecede gösterilmesi mümkün ifadesi ORICON kaynağına göre nasıl açıklanır?,oricon_genel_000367,True,True,False,True,True,True
7,Borçlar ve Sözleşmeler Hukuku alanında Yurt dışında düzenlenen vekaletname işlem konusunda Yurt dışında düzenlenen vekaletname işlem yapılması durumunda vekaletnamenin ifadesi ORICON kaynağına göre nasıl açıklanır?,oricon_borclar_000331,True,True,True,True,True,True
8,Ticaret Hukuku; Medeni Hukuk - Miras/Aile/Eşya/Kişiler alanında Sözlü vasiyetnamenin yapılabilmesi konusunda Sözlü vasiyetnamenin yapılabilmesi yakın ölüm tehlikesi ulaşımın kesilmesi ifadesi ORICON kaynağına göre nasıl açıklanır?,oricon_ticaret_medeni_000010,True,True,False,True,True,True
9,İdare ve İdari Yargılama Hukuku alanında Belli istekliler arasında ihale usulünde konusunda Belli istekliler arasında ihale usulünde teklif verebilmek yeterlik ifadesi ORICON kaynağına göre nasıl açıklanır?,oricon_idare_000142,True,True,True,True,True,True
10,Genel hukuk / sınıflandırma bekliyor alanında basın iş kanunu konusunda Basın İş Kanununa günlük yayın yapan işyerinde çalışan ifadesi ORICON kaynağına göre nasıl açıklanır?,oricon_genel_000584,True,True,True,True,True,True
11,Genel hukuk / sınıflandırma bekliyor alanında Kıymet takdir komisyonunun belirlediği bedel konusunda Kıymet takdir komisyonunun belirlediği bedel koyma kararına karşı ifadesi ORICON kaynağına göre nasıl açıklanır?,oricon_genel_001160,True,True,False,True,True,True
12,Ticaret Hukuku alanında ceza konusunda Karşılıksız çek düzenleme adli para cezası çek düzenleme ifadesi ORICON kaynağına göre nasıl açıklanır?,oricon_ticaret_000317,True,True,True,True,True,True
13,Ticaret Hukuku alanında Tescil davası konusunda Tescil davası geminin kayıtlı olduğu kaydedilmesi gereken sicil ifadesi ORICON kaynağına göre nasıl açıklanır?,oricon_ticaret_000104,True,True,True,True,True,True
14,Genel hukuk / sınıflandırma bekliyor alanında Dava masrafları arasında posta masrafları konusunda Dava masrafları arasında posta masrafları bilirkişi ücreti keşif ifadesi ORICON kaynağına göre nasıl açıklanır?,oricon_genel_001536,True,True,False,True,True,True
15,Medeni Hukuk - Miras/Aile/Eşya/Kişiler alanında nafaka konusunda Çocukların durumu anlaşmanın önemi çocuğun velayetinin kimde kalacağı ifadesi ORICON kaynağına göre nasıl açıklanır?,oricon_medeni_000666,True,True,True,True,True,True
16,Genel hukuk / sınıflandırma bekliyor alanında H kim konusunda akıl hastalığı durumunu değerlendirirken hastalığın dışarı yansıyan görünümlerini ifadesi ORICON kaynağına göre nasıl açıklanır?,oricon_genel_001810,True,True,True,True,True,True
17,Genel hukuk / sınıflandırma bekliyor alanında Vekilin sorumluluklarına aykırı hareket etmesi konusunda Vekilin sorumluluklarına aykırı hareket etmesi durumunda vek let ifadesi ORICON kaynağına göre nasıl açıklanır?,oricon_genel_001526,True,True,True,True,True,True
18,İdare ve İdari Yargılama Hukuku alanında idari işlem konusunda İdari işlemden kaynaklanan istirdat davalarında idareye başvuru zorunluluğu ifadesi ORICON kaynağına göre nasıl açıklanır?,oricon_idare_000168,True,True,True,True,True,True
19,İcra ve İflas Hukuku alanında Ölülerin yakılması konusunda Ölülerin yakılması fırın yaptırmak isteyen belediyelerin öncelikle Sıhhat ifadesi ORICON kaynağına göre nasıl açıklanır?,oricon_icra_iflas_000101,True,True,True,True,True,True
20,Borçlar ve Sözleşmeler Hukuku; Medeni Hukuk - Miras/Aile/Eşya/Kişiler alanında sözleşme konusunda Birleşmiş Milletler Çocuk Hakları Sözleşmesi çocuğun yüksek menfaati ifadesi ORICON kaynağına göre nasıl açıklanır?,oricon_borclar_medeni_000112,True,True,True,True,True,True
21,İdare ve İdari Yargılama Hukuku; Medeni Hukuk - Miras/Aile/Eşya/Kişiler alanında tahliye konusunda Yeniden inşa imar nedeniyle tahliye durumunda taşınmazın esaslı ifadesi ORICON kaynağına göre nasıl açıklanır?,oricon_idare_medeni_000074,True,True,True,True,True,True
22,Borçlar ve Sözleşmeler Hukuku alanında İcranın geri bırakılması prosedüründe teminatın konusunda İcranın geri bırakılması prosedüründe teminatın önemi borçlunun borcunu ifadesi ORICON kaynağına göre nasıl açıklanır?,oricon_borclar_000055,True,True,True,True,True,True
23,Medeni Hukuk - Miras/Aile/Eşya/Kişiler alanında Mahkeme konusunda Mahkeme taşınmazın yola ihtiyacı olup olmadığını önceki mülkiyet ifadesi ORICON kaynağına göre nasıl açıklanır?,oricon_medeni_000504,True,True,True,True,True,True
24,Genel hukuk / sınıflandırma bekliyor alanında İbraz talebini içeren yazının mükellefe konusunda İbraz talebini içeren yazının mükellefe tebliğ edilmesi ibrazın ifadesi ORICON kaynağına göre nasıl açıklanır?,oricon_genel_000315,True,True,True,True,True,True
25,Medeni Hukuk - Miras/Aile/Eşya/Kişiler alanında H kim konusunda altı aylık beş yıllık hak düşürücü süreleri eşler ifadesi ORICON kaynağına göre nasıl açıklanır?,oricon_medeni_000688,True,True,False,True,True,True
26,Ceza Hukuku alanında ceza konusunda Taahhüdü ihlal suçunun ceza zamanaşımı süresi kararın kesinleşmesinden ifadesi ORICON kaynağına göre nasıl açıklanır?,oricon_ceza_000102,True,True,True,True,True,True
27,Genel hukuk / sınıflandırma bekliyor alanında Kamu düzenine aykırılık açıkça kanunda konusunda Kamu düzenine aykırılık açıkça kanunda düzenlenmemiş olup net ifadesi ORICON kaynağına göre nasıl açıklanır?,oricon_genel_000663,True,True,True,True,True,True
28,Genel hukuk / sınıflandırma bekliyor alanında Yargıtay konusunda Yargıtay hesap devrelerinin süresinin aydan kısa kararlaştırılamayacağına karar ifadesi ORICON kaynağına göre nasıl açıklanır?,oricon_genel_001461,True,True,True,True,True,True
29,Ticaret Hukuku; Borçlar ve Sözleşmeler Hukuku alanında kira bedeli konusunda Kira bedelinin uyarlanması davası taraflarca öngörülemeyen olağanüstü durumların ifadesi ORICON kaynağına göre nasıl açıklanır?,oricon_ticaret_borclar_000056,True,True,True,True,True,True
30,Genel hukuk / sınıflandırma bekliyor alanında ceza konusunda İmar kirliliğinin önlenmesi kapsamlı yaklaşım gerekmektedir temelde yatan ifadesi ORICON kaynağına göre nasıl açıklanır?,oricon_genel_000119,True,True,True,True,True,True
31,Genel hukuk / sınıflandırma bekliyor alanında Kat irtifakının devri konusunda Kat irtifakının devri devralan kişiye inşaatı sağlama yükümlülüğünü ifadesi ORICON kaynağına göre nasıl açıklanır?,oricon_genel_000324,True,True,True,True,True,True
32,Ticaret Hukuku; Medeni Hukuk - Miras/Aile/Eşya/Kişiler alanında ticaret konusunda Taşınmaz ticari amaçla edinilmişse durumda Ticaret Mahkemeleri görevli ifadesi ORICON kaynağına göre nasıl açıklanır?,oricon_ticaret_medeni_000044,True,True,True,True,True,True
33,Medeni Hukuk - Miras/Aile/Eşya/Kişiler alanında Yasal önalım hakkının şartları konusunda Yasal önalım hakkının şartları paydaş olma şartı paylı ifadesi ORICON kaynağına göre nasıl açıklanır?,oricon_medeni_000554,True,True,False,True,True,True
34,Ticaret Hukuku alanında ticaret konusunda Ticaret hukuku danışmanlığı işletmelerin ticaret faaliyetlerini sorunsuz şekilde ifadesi ORICON kaynağına göre nasıl açıklanır?,oricon_ticaret_000030,True,True,True,True,True,True
35,Genel hukuk / sınıflandırma bekliyor alanında kadının soyadı konusunda Kocanın iznin kaldırılması mahkemeye kadının soyadını kullanmasının kendisine ifadesi ORICON kaynağına göre nasıl açıklanır?,oricon_genel_001797,True,True,True,True,True,True
36,Ceza Hukuku alanında suç konusunda Eşya kazanç müsaderesi yasa dışı bahis suçlarıyla ilgili ifadesi ORICON kaynağına göre nasıl açıklanır?,oricon_ceza_000041,True,True,True,True,True,True
37,Yabancılar ve Vatandaşlık Hukuku; Anayasa Hukuku ve Temel Haklar alanında temel hak ve özgürlükler konusunda Türk vatandaşlığından çıkmak isteyen kişinin vatansız kalmaması esası ifadesi ORICON kaynağına göre nasıl açıklanır?,oricon_yabancilar_anayasa_000002,True,True,True,True,True,True
38,İdare ve İdari Yargılama Hukuku alanında hüküm konusunda İdari mercilere tanınan takdir yetkisi yasal mevzuat hükümleri ifadesi ORICON kaynağına göre nasıl açıklanır?,oricon_idare_000309,True,True,True,True,True,True
39,Ticaret Hukuku alanında ticaret konusunda Garanti marka marka sahibinin kontrolü altında birçok işletme ifadesi ORICON kaynağına göre nasıl açıklanır?,oricon_ticaret_000209,True,True,True,True,True,True
40,Ticaret Hukuku alanında Borcun ifa edilmesi konusunda Borcun ifa edilmesi durumunda mahkeme borcun gerçekten ifa ifadesi ORICON kaynağına göre nasıl açıklanır?,oricon_ticaret_000056,True,True,True,True,True,True
