question,expected_answer,generated_answer,clean_generated_answer,top1_chunk_id,top1_source,top1_source_filter,top1_context,top1_article_bonus,top1_original_rank,top1_rerank_rank,top1_rerank_score,top1_fusion_score,retrieved_contexts,is_valid_sample,manual_score
Anayasanın 101. Maddesiyle İlgili Tartışmalar Nelerdir?,Cumhurbaşkanının seçilme şartlarının sınırları ve uygulanması üzerine tartışmalar olabilir.,"Anayasanın 101. Maddesiyle ilgili tartışmalar, önceki seçimde gerekli çoğunluğun sağlanamaması halinde ikinci seçim yapılması ve seçimlerin geriye bırakılması","Anayasanın 101. Maddesiyle ilgili tartışmalar, önceki seçimde gerekli çoğunluğun sağlanamaması halinde ikinci seçim yapılması ve seçimlerin geriye bırakılması",chunk_000537,Türkiye Cumhuriyeti Anayasası,Türkiye Cumhuriyeti Anayasası,Cumhurbaşkanlığı seçiminde birinci oylamada gerekli çoğunluğun sağlanamaması halinde 101 inci maddedeki usule göre ikinci oylama yapılır. D. Seçimlerin geriye bırakılması ve ara seçimler [34],1.0,1,1,0.02352294884622097,1.0,"Cumhurbaşkanlığı seçiminde birinci oylamada gerekli çoğunluğun sağlanamaması halinde 101 inci maddedeki usule göre ikinci oylama yapılır. D. Seçimlerin geriye bırakılması ve ara seçimler [34]

Madde 158 – Uyuşmazlık Mahkemesi adli ve idari yargı mercileri arasındaki görev ve hüküm uyuşmazlıklarını kesin olarak çözümlemeye yetkilidir. [101]

Madde 176 – Anayasanın dayandığı temel görüş ve ilkeleri belirten başlangıç kısmı, Anayasa metnine dahildir.",True,0.0
"Bir grup vatandaş, belirli bir etnik grubun diğerlerinden daha fazla hakka sahip olması için imza kampanyası başlatmıştır. Bu durum Anayasanın 10. Maddesi ile nasıl çelişir?","Anayasanın 10. Maddesi, herkesin kanun önünde eşit olduğunu belirtir. Bu tür bir imza kampanyası Anayasa'ya aykırıdır.","Anayasanın 10. Maddesi, herkesin dil, ırk, renk, cinsiyet, siyasi düşünce, felsefi inanç, din, mezhep ve benzeri sebeplerle ayırım gözetilmeksizin kanun önünd","Anayasanın 10. Maddesi, herkesin dil, ırk, renk, cinsiyet, siyasi düşünce, felsefi inanç, din, mezhep ve benzeri sebeplerle ayırım gözetilmeksizin kanun önünd",chunk_000274,Türkiye Cumhuriyeti Anayasası,Türkiye Cumhuriyeti Anayasası,"Madde 10 – Herkes, dil, ırk, renk, cinsiyet, siyasi düşünce, felsefi inanç, din, mezhep ve benzeri sebeplerle ayırım gözetilmeksizin kanun önünde eşittir.",1.0,1,1,0.0279606394469738,1.0,"Madde 10 – Herkes, dil, ırk, renk, cinsiyet, siyasi düşünce, felsefi inanç, din, mezhep ve benzeri sebeplerle ayırım gözetilmeksizin kanun önünde eşittir.

Madde 150 – Kanunların, Cumhurbaşkanlığı kararnamelerinin, Türkiye Büyük Millet Meclisi İçtüzüğünün veya bunların belirli madde ve hükümlerinin şekil ve esas bakımından Anayasaya aykırılığı iddiasıyla Anayasa Mahkemesinde doğrudan doğruya iptal davası açabilme hakkı, Cumhurbaşkanına, Türkiye Büyük Millet Meclisinde en fazla üyeye sahip iki siyasi parti grubuna ve üye tamsayısının en az beşte biri tutarındaki üyelere aittir. (Mülga son cümle: 21/1/2017-6771/16 md.) [91] 6. Dava açma süresi

e) Anayasanın halkoylaması sonucu kabulünün ilanıyle birlikte yürürlüğe girecek hükümleri ve mevcut ve kurulacak kurum, kuruluş ve kurullar için yeniden kanun yapılması veya mevcut kanunlarda değişiklik yapılması gerekiyorsa bunlara ilişkin işlemler mevcut kanunların Anayasaya aykırı olmayan hükümleri veya doğrudan Anayasa hükümleri, Anayasanın 11 inci maddesi gereğince uygulanır.",True,0.5
"Bir grup akademisyen, yaşama hakkının sınırlanamayacağını savunmaktadır. Bu durum Anayasanın 17. Maddesi'ne aykırı mıdır?","Evet, Anayasanın 17. Maddesi, herkesin yaşama hakkına sahip olduğunu ve bu hakkın ancak kanunlarla düzenlenebileceğini belirtir. Bu tür bir savunma bu maddeye aykırıdır.","Hayır. Anayasanın 17. Maddesi, herkesin yaşama hakkını koruma ve geliştirme hakkını belirten hükümüdür. Akademisyenin savunması, bu hakın sınırlanam","Hayır. Anayasanın 17. Maddesi, herkesin yaşama hakkını koruma ve geliştirme hakkını belirten hükümüdür. Akademisyenin savunması, bu hakın sınırlanam",chunk_000373,Türkiye Cumhuriyeti Anayasası,Türkiye Cumhuriyeti Anayasası,"Madde 17 – Herkes, yaşama, maddi ve manevi varlığını koruma ve geliştirme hakkına sahiptir.",1.0,1,1,0.38516971468925476,1.0,"Madde 17 – Herkes, yaşama, maddi ve manevi varlığını koruma ve geliştirme hakkına sahiptir.

e) Anayasanın halkoylaması sonucu kabulünün ilanıyle birlikte yürürlüğe girecek hükümleri ve mevcut ve kurulacak kurum, kuruluş ve kurullar için yeniden kanun yapılması veya mevcut kanunlarda değişiklik yapılması gerekiyorsa bunlara ilişkin işlemler mevcut kanunların Anayasaya aykırı olmayan hükümleri veya doğrudan Anayasa hükümleri, Anayasanın 11 inci maddesi gereğince uygulanır.

Temel hak ve hürriyetler, özlerine dokunulmaksızın yalnızca Anayasanın ilgili maddelerinde belirtilen sebeplere bağlı olarak ve ancak kanunla sınırlanabilir. Bu sınırlamalar, Anayasanın sözüne ve ruhuna, demokratik toplum düzeninin ve lâik Cumhuriyetin gereklerine ve ölçülülük ilkesine aykırı olamaz. II I. Temel hak ve hürriyetlerin kötüye kullanılamaması",True,0.5
Geçici madde 20 ne zaman eklendi?,20 mayıs 2016 tarihinde.,Geçici madde 20 13/5/1981 gün eklendi.,Geçici madde 20 13/5/1981 gün eklendi.,chunk_003745,Türkiye Cumhuriyeti İş Kanunu,,"31/7/2008-5797/10 md.) Bu fıkrada düzenlenen teşvik, kamu idareleri hariç 506 sayılı Kanun kapsamındaki sigortalılara ilişkin matrah ve oranlar üzerinden olmak üzere, 506 sayılı Kanunun geçici 20 nci maddesi kapsamındaki sandıkların statülerine tabi personeli için de uygulanır. Bu fıkranın uygulanmasına ilişkin usul ve esaslar Maliye Bakanlığı ile Çalışma ve Sosyal Güvenlik Bakanlığı ve Hazine Müsteşarlığı tarafından müştereken belirlenir.[13]
(Değişik yedinci fıkra: 11/10/2011-KHK-665/28 md.) Bu maddeye aykırılık hallerinde 101 inci madde uyarınca tahsil edilecek cezalar, engellilerin ve eski hükümlülerin kendi işini kurmaları, engellinin iş bulmasını sağlayacak destek teknolojileri, engellinin işe yerleştirilmesi, işe ve işyerine uyumunun sağlanması ve bu gibi projelerde kullanılır.",1.0,1,1,0.4382551312446594,1.0,"31/7/2008-5797/10 md.) Bu fıkrada düzenlenen teşvik, kamu idareleri hariç 506 sayılı Kanun kapsamındaki sigortalılara ilişkin matrah ve oranlar üzerinden olmak üzere, 506 sayılı Kanunun geçici 20 nci maddesi kapsamındaki sandıkların statülerine tabi personeli için de uygulanır. Bu fıkranın uygulanmasına ilişkin usul ve esaslar Maliye Bakanlığı ile Çalışma ve Sosyal Güvenlik Bakanlığı ve Hazine Müsteşarlığı tarafından müştereken belirlenir.[13]
(Değişik yedinci fıkra: 11/10/2011-KHK-665/28 md.) Bu maddeye aykırılık hallerinde 101 inci madde uyarınca tahsil edilecek cezalar, engellilerin ve eski hükümlülerin kendi işini kurmaları, engellinin iş bulmasını sağlayacak destek teknolojileri, engellinin işe yerleştirilmesi, işe ve işyerine uyumunun sağlanması ve bu gibi projelerde kullanılır.

Madde 20- Açıklanması veya zamanından önce açıklanması hâlinde; a) Suç işlenmesine yol açacak,

Madde 12 – 13/5/1981 gün ve 2461 sayılı Hakimler ve Savcılar Yüksek Kurulu Kanununun geçici 1 inci maddesi uyarınca Yargıtay ve Danıştaydan Kurulun asıl ve yedek üyeliğine; 1730 sayılı Yargıtay Kanununa 25/6/1981 gün ve 2483 sayılı Kanunla eklenen geçici madde uyarınca Cumhuriyet Başsavcılığı ile Cumhuriyet Başsavcıvekilliğine; 6/1/1982 gün ve 2575 sayılı Danıştay Kanununun geçici 14 üncü maddesinin ikinci fıkrası uyarınca Danıştay Başkanlığına, Başsavcılığına, başkanvekilliklerine ve daire başkanlıklarına, Devlet Başkanınca seçilmiş bulunanlar, seçildikleri dönem için bu görevlerine devam ederler.",True,0.0
Videoda TCK 121 ihlali sabit değil mi?,"Bu tür hususlar dosyalarında bilişimci bilirkişi raporu alınarak sonuca ulaşılabilir, bu şekilde değerlendirme yapılması hatalı olacaktır.","Evet, TCK 121 madde hakkının kullanılmasının engellenmesi için sabit değil.","Evet, TCK 121 madde hakkının kullanılmasının engellenmesi için sabit değil.",chunk_003431,Türk Ceza Kanunu,Türk Ceza Kanunu,"ÜÇÜNCÜ KISIM
Topluma Karşı Suçlar ALTINCI BÖLÜM
Ulaşım Araçlarına veya Sabit Platformlara Karşı Suçlar",0.0,1,5,0.00206725369207561,0.76,"ÜÇÜNCÜ KISIM
Topluma Karşı Suçlar ALTINCI BÖLÜM
Ulaşım Araçlarına veya Sabit Platformlara Karşı Suçlar

(5) Bu suçun ihmali davranışla işlenmesi hâlinde, verilecek cezada bu nedenle indirim yapılmaz. Neticesi sebebiyle ağırlaşmış işkence
MADDE 95. - (1) İşkence fiilleri, mağdurun; a) Duyularından veya organlarından birinin işlevinin sürekli zayıflamasına,
b) Konuşmasında sürekli zorluğa,
c) Yüzünde sabit ize,
d) Yaşamını tehlikeye sokan bir duruma,
e) Gebe bir kadına karşı işlenip de çocuğunun vaktinden önce doğmasına,
Neden olmuşsa, yukarıdaki maddeye göre belirlenen ceza, yarı oranında artırılır. (2) İşkence fiilleri, mağdurun;

Dilekçe hakkının kullanılmasının engellenmesi
MADDE 121. - (1) Kişinin belli bir hakkı kullanmak için yetkili kamu makamlarına verdiği dilekçenin hukukî bir neden olmaksızın kabul edilmemesi hâlinde, fail hakkında altı aya kadar hapis cezasına hükmolunur. Ayırımcılık
MADDE 122. - (1) Kişiler arasında dil, ırk, renk, cinsiyet, siyasî düşünce, felsefî inanç, din, mezhep ve benzeri sebeplerle ayırım yaparak;",True,0.5
Cumhurbaşkanının yemin etme zorunluluğu nedir,"Cumhurbaşkanının yemin etme zorunluluğu, anayasa ve yasalara sadakatle bağlı kalacağını ve görevini tarafsız bir şekilde yürüteceğini taahhüt etmesini sağlar. yemin, cumhurbaşkanının görevine resmen başlaması için gereklidir.","Cumhurbaşkanın yemin etme zorunluluğu, Cumhurbaşkanının verilen bağlamlarda belirtilen seçme ve atama görevleri yerine getirirken ve yetkilerini kullanırken görülebil","Cumhurbaşkanın yemin etme zorunluluğu, Cumhurbaşkanının verilen bağlamlarda belirtilen seçme ve atama görevleri yerine getirirken ve yetkilerini kullanırken görülebil",chunk_000057,Türkiye Cumhuriyeti Anayasası,Türkiye Cumhuriyeti Anayasası,"Cumhurbaşkanı, ayrıca Anayasada ve kanunlarda verilen seçme ve atama görevleri ile diğer görevleri yerine getirir ve yetkileri kullanır. E. Cumhurbaşkanının cezai sorumluluğu [48]",0.0,1,1,0.0064382124692201614,1.0,"Cumhurbaşkanı, ayrıca Anayasada ve kanunlarda verilen seçme ve atama görevleri ile diğer görevleri yerine getirir ve yetkileri kullanır. E. Cumhurbaşkanının cezai sorumluluğu [48]

c) Cumhurbaşkanının istemine göre, iç ve dış güvenlik ile gerekli görülen diğer konularda inceleme ve araştırma yapmak ve sonuçlarını Cumhurbaşkanına sunmak. Geçici

Cumhurbaşkanının hastalık ve yurt dışına çıkma gibi sebeplerle geçici olarak görevinden ayrılması hallerinde, Cumhurbaşkanı yardımcısı Cumhurbaşkanına vekâlet eder ve Cumhurbaşkanına ait yetkileri kullanır.",True,0.0
Anayasanın 122. Maddesi Nedir?,"Anayasanın 122. maddesi, sıkıyönetim ilanı ve yönetimine ilişkin hükümleri içerir.",Anayasanın 122. Maddesi yoktur.,Anayasanın 122. Maddesi yoktur.,chunk_000102,Türkiye Cumhuriyeti Anayasası,Türkiye Cumhuriyeti Anayasası,Madde 122 – (Mülga: 21/1/2017-6771/16 md.) Devamı…,1.0,1,1,0.12999384105205536,1.0,"Madde 122 – (Mülga: 21/1/2017-6771/16 md.) Devamı…

e) Anayasanın halkoylaması sonucu kabulünün ilanıyle birlikte yürürlüğe girecek hükümleri ve mevcut ve kurulacak kurum, kuruluş ve kurullar için yeniden kanun yapılması veya mevcut kanunlarda değişiklik yapılması gerekiyorsa bunlara ilişkin işlemler mevcut kanunların Anayasaya aykırı olmayan hükümleri veya doğrudan Anayasa hükümleri, Anayasanın 11 inci maddesi gereğince uygulanır.

Madde 4 – Anayasanın 1 inci maddesindeki Devletin şeklinin Cumhuriyet olduğu hakkındaki hüküm ile, 2 nci maddesindeki Cumhuriyetin nitelikleri ve 3 üncü maddesi hükümleri değiştirilemez ve değiştirilmesi teklif edilemez. V. Devletin temel amaç ve görevleri",True,0.0
Yasama dokunulmazlığının kaldırılmasına karşı itiraz süresi kaç gündür?,"Yasama dokunulmazlığının kaldırılmasına veya milletvekilliğinin düşmesine 84 üncü maddenin birinci, üçüncü veya dördüncü fıkralarına göre karar verilmiş olması hallerinde, meclis genel kurulu kararının alındığı tarihten başlayarak yedi gün içerisinde ilgili milletvekili veya bir diğer milletvekili, kararın, anayasaya, kanuna veya i̇çtüzüğe aykırılığı iddiasıyla iptali için anayasa mahkemesine başvurabilir. anayasa mahkemesi, iptal istemini onbeş gün içerisinde kesin karara bağlar. (madde 85)","Verilen bağlamlara göre, itiraz süresi yedi gün'dur.","Verilen bağlamlara göre, itiraz süresi yedi gün'dur.",chunk_000332,Türkiye Cumhuriyeti Anayasası,Türkiye Cumhuriyeti Anayasası,"Bu maddenin yürürlüğe girdiği tarihten itibaren onbeş gün içinde; Anayasa ve Adalet komisyonları üyelerinden kurulu Karma Komisyon Başkanlığında, Türkiye Büyük Millet Meclisi Başkanlığında, Başbakanlıkta ve Adalet Bakanlığında bulunan yasama dokunulmazlığının kaldırılmasına ilişkin dosyalar, gereğinin yapılması amacıyla, yetkili merciine iade edilir.",0.0,1,1,0.872126579284668,1.0,"Bu maddenin yürürlüğe girdiği tarihten itibaren onbeş gün içinde; Anayasa ve Adalet komisyonları üyelerinden kurulu Karma Komisyon Başkanlığında, Türkiye Büyük Millet Meclisi Başkanlığında, Başbakanlıkta ve Adalet Bakanlığında bulunan yasama dokunulmazlığının kaldırılmasına ilişkin dosyalar, gereğinin yapılması amacıyla, yetkili merciine iade edilir.

Yasama dokunulmazlığının kaldırılmasına veya milletvekilliğinin düşmesine 84 üncü maddenin birinci, üçüncü veya dördüncü fıkralarına göre karar verilmiş olması hallerinde, Meclis Genel Kurulu kararının alındığı tarihten başlayarak yedi gün içerisinde ilgili milletvekili veya bir diğer milletvekili, kararın, Anayasaya, kanuna veya İçtüzüğe aykırılığı iddiasıyla iptali için Anayasa Mahkemesine başvurabilir. Anayasa Mahkemesi, iptal istemini onbeş gün içerisinde kesin karara bağlar. 7. Ödenek ve yolluklar

Bu maddenin Türkiye Büyük Millet Meclisinde kabul edildiği tarihte; soruşturmaya veya soruşturma ya da kovuşturma izni vermeye yetkili mercilerden, Cumhuriyet başsavcılıklarından ve mahkemelerden; Adalet Bakanlığına, Başbakanlığa, Türkiye Büyük Millet Meclisi Başkanlığına veya Anayasa ve Adalet komisyonları üyelerinden kurulu Karma Komisyon Başkanlığına intikal etmiş yasama dokunulmazlığının kaldırılmasına ilişkin dosyaları bulunan milletvekilleri hakkında, bu dosyalar bakımından, Anayasanın 83 üncü maddesinin ikinci fıkrasının birinci cümlesi hükmü uygulanmaz.",True,1.0
"Bir siyasi parti, çalışma şartlarının belirli durumlarda devlet tarafından keyfi olarak düzenlenebileceğini savunmaktadır. Bu durum Anayasanın 50. Maddesi'ne aykırı mıdır?","Evet, Anayasanın 50. Maddesi, herkesin çalışma şartları ve dinlenme hakkına sahip olduğunu belirtir. Bu tür bir savunma bu maddeye aykırıdır.","Evet, Anayasanın 50. Maddesi, siyasi partilerin çalışma şartlarının belirli durumlarda devlet tarafından düzenlenmesine olanak tanır, ancak bu durum, küçükler ve k","Evet, Anayasanın 50. Maddesi, siyasi partilerin çalışma şartlarının belirli durumlarda devlet tarafından düzenlenmesine olanak tanır, ancak bu durum, küçükler ve k",chunk_000469,Türkiye Cumhuriyeti Anayasası,Türkiye Cumhuriyeti Anayasası,"Madde 50 – Kimse, yaşına, cinsiyetine ve gücüne uymayan işlerde çalıştırılamaz. Küçükler ve kadınlar ile bedeni ve ruhi yetersizliği olanlar çalışma şartları bakımından özel olarak korunurlar. Dinlenmek, çalışanların hakkıdır. Ücretli hafta ve bayram tatili ile ücretli yıllık izin hakları ve şartları kanunla düzenlenir. Devamı…",1.0,1,1,0.10526104271411896,1.0,"Madde 50 – Kimse, yaşına, cinsiyetine ve gücüne uymayan işlerde çalıştırılamaz. Küçükler ve kadınlar ile bedeni ve ruhi yetersizliği olanlar çalışma şartları bakımından özel olarak korunurlar. Dinlenmek, çalışanların hakkıdır. Ücretli hafta ve bayram tatili ile ücretli yıllık izin hakları ve şartları kanunla düzenlenir. Devamı…

Siyasi partilerin faaliyetleri, parti içi düzenlemeleri ve çalışmaları demokrasi ilkelerine uygun olur. Bu ilkelerin uygulanması kanunla düzenlenir. Siyasi partiler, ticari faaliyetlere girişemezler.

Madde 67 – Vatandaşlar, kanunda gösterilen şartlara uygun olarak seçme, seçilme ve bağımsız olarak veya bir siyasi parti içinde siyasi faaliyette bulunma ve halkoylamasına katılma hakkına sahiptir.",True,0.5
"Devlet Denetleme Kurulu, Silahlı Kuvvetler üzerinde denetim yapmıştır. Bu durum Anayasanın 108. Maddesi ile nasıl çelişir?","Anayasanın 108. Maddesi, Silahlı Kuvvetlerin Devlet Denetleme Kurulu'nun denetiminin dışında olduğunu belirtir. Bu durum maddeye aykırıdır.","Anayasanın 108. Maddesi, Devlet Denetleme Kurulusunun Silahlı Kuvvetlerle ilgili denetim hakkının belirtilen bağlamda açıkça söylenmiş olduğu gibi, Devlet Denetleme","Anayasanın 108. Maddesi, Devlet Denetleme Kurulusunun Silahlı Kuvvetlerle ilgili denetim hakkının belirtilen bağlamda açıkça söylenmiş olduğu gibi, Devlet Denetleme",chunk_000074,Türkiye Cumhuriyeti Anayasası,Türkiye Cumhuriyeti Anayasası,"Madde 108 – İdarenin hukuka uygunluğunun, düzenli ve verimli şekilde yürütülmesinin ve geliştirilmesinin sağlanması amacıyla, Cumhurbaşkanlığına bağlı olarak kurulan Devlet Denetleme Kurulu, Cumhurbaşkanının isteği üzerine, tüm kamu kurum ve kuruluşlarında ve sermayesinin yarısından fazlasına bu kurum ve kuruluşların katıldığı her türlü kuruluşta, kamu kurumu niteliğinde olan meslek kuruluşlarında, her düzeydeki işçi ve işveren meslek kuruluşlarında, kamuya yararlı derneklerle vakıflarda, her türlü idari soruşturma, inceleme, araştırma ve denetlemeleri yapar. [50] (…) [51] yargı organları, Devlet Denetleme Kurulunun görev alanı dışındadır. Devlet Denetleme Kurulunun Başkan ve üyeleri, Cumhurbaşkanınca atanır. [52]",1.0,1,1,0.3984798192977905,1.0,"Madde 108 – İdarenin hukuka uygunluğunun, düzenli ve verimli şekilde yürütülmesinin ve geliştirilmesinin sağlanması amacıyla, Cumhurbaşkanlığına bağlı olarak kurulan Devlet Denetleme Kurulu, Cumhurbaşkanının isteği üzerine, tüm kamu kurum ve kuruluşlarında ve sermayesinin yarısından fazlasına bu kurum ve kuruluşların katıldığı her türlü kuruluşta, kamu kurumu niteliğinde olan meslek kuruluşlarında, her düzeydeki işçi ve işveren meslek kuruluşlarında, kamuya yararlı derneklerle vakıflarda, her türlü idari soruşturma, inceleme, araştırma ve denetlemeleri yapar. [50] (…) [51] yargı organları, Devlet Denetleme Kurulunun görev alanı dışındadır. Devlet Denetleme Kurulunun Başkan ve üyeleri, Cumhurbaşkanınca atanır. [52]

Madde 107 – (Mülga: 21/1/2017-6771/16 md.) H. Devlet Denetleme Kurulu

Birinci fıkra hükmü, Silahlı Kuvvetler ve kolluk kuvvetleri mensuplarına ve görevlerinin gerektirdiği ölçüde Devlet memurlarına kanunla sınırlamalar getirilmesine engel değildir. Bu madde hükümleri vakıflarla ilgili olarak da uygulanır. B. Toplantı ve gösteri yürüyüşü düzenleme hakkı",True,0.0
